Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/1/2025 0:00,26,3.3,3.2,305,37,0,6.6
12/1/2025 1:00,,3.1,2.9,297,36,0,6.6
12/1/2025 2:00,25,2.4,2.3,283,34,0,6.3
12/1/2025 3:00,28,3.7,3.6,307,35,0,4.9
12/1/2025 4:00,26,2.5,2.4,306,35,0,4.7
12/1/2025 5:00,27,3.8,3.7,316,36,0,4.3
12/1/2025 6:00,26,2.8,2.7,313,36,0,4.3
12/1/2025 7:00,23,2.1,2,302,36,11,4.2
12/1/2025 8:00,24,2.3,2.1,318,36,30,4.1
12/1/2025 9:00,28,3.1,3,315,38,250,3.9
12/1/2025 10:00,32,4,3.8,335,39,363,3
12/1/2025 11:00,34,3.3,3.1,347,40,368,2.7
12/1/2025 12:00,35,2.8,2.4,336,41,372,2.5
12/1/2025 13:00,35,2.5,2.2,351,41,278,2.5
12/1/2025 14:00,35,1.4,1.2,340,41,232,2.8
12/1/2025 15:00,39,1.3,1.1,340,40,85,203.6
12/1/2025 16:00,29,1.2,1.2,17,39,10,13.2
12/1/2025 17:00,17,1.1,1,90,37,0,3.8
12/1/2025 18:00,12,1.1,1,116,35,0,4.4
12/1/2025 19:00,22,1,1,121,34,0,4.7
12/1/2025 20:00,25,1.1,1,135,33,0,4.9
12/1/2025 21:00,23,1.4,1.4,139,33,0,5.8
12/1/2025 22:00,19,1.6,1.6,140,32,0,8.2
12/1/2025 23:00,17,1.7,1.6,142,32,0,9.4
