Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/6/2025 0:00,12,0.8,0.8,72,24,0,10.7
12/6/2025 1:00,,0.7,0.6,68,24,0,11.6
12/6/2025 2:00,10,0.6,0.5,40,25,0,13.4
12/6/2025 3:00,11,0.5,0.4,111,25,0,14.7
12/6/2025 4:00,6,0.5,0.3,86,25,0,15.7
12/6/2025 5:00,6,0.7,0.6,107,25,0,17.2
12/6/2025 6:00,8,0.6,0.4,114,26,0,18.5
12/6/2025 7:00,7,0.5,0.4,107,26,5,19.9
12/6/2025 8:00,9,0.8,0.7,204,27,41,21.2
12/6/2025 9:00,9,1,0.8,266,28,84,23.5
12/6/2025 10:00,10,1.4,1.3,288,29,118,25.4
12/6/2025 11:00,13,1.6,1.5,286,31,173,25.2
12/6/2025 12:00,14,1.6,1.5,288,33,260,27.1
12/6/2025 13:00,15,1.5,1.4,296,35,196,23.4
12/6/2025 14:00,15,1.6,1.5,300,36,123,22.8
12/6/2025 15:00,15,1.3,1.3,236,36,46,23.7
12/6/2025 16:00,13,1,0.8,257,36,1,23.8
12/6/2025 17:00,5,0.6,0.4,207,35,0,25.4
12/6/2025 18:00,1,0.6,0.5,207,34,0,27.4
12/6/2025 19:00,1,1.2,1,197,34,0,29.3
12/6/2025 20:00,1,0.8,0.6,274,34,0,31.1
12/6/2025 21:00,1,1.4,0.7,341,34,0,31.8
12/6/2025 22:00,12,1.6,1.5,313,36,0,18.7
12/6/2025 23:00,21,1.9,1.8,312,37,0,13.4
