Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/5/2025 0:00,30,1.2,1.1,48,24,0,2.8
12/5/2025 1:00,,1.5,1.4,67,23,0,2.9
12/5/2025 2:00,30,1.9,1.9,71,23,0,3
12/5/2025 3:00,31,2.1,2.1,73,22,0,2.6
12/5/2025 4:00,29,1.7,1.7,86,21,0,2.5
12/5/2025 5:00,27,1.5,1.4,106,21,0,2.9
12/5/2025 6:00,25,1.6,1.5,94,20,0,3.6
12/5/2025 7:00,21,1.3,1.3,98,21,0,4.1
12/5/2025 8:00,24,1.2,1.1,118,22,4,4.4
12/5/2025 9:00,24,1.7,1.6,136,23,35,4.7
12/5/2025 10:00,24,2,1.8,142,24,102,5.1
12/5/2025 11:00,25,1.7,1.6,135,25,147,5.2
12/5/2025 12:00,24,1.4,1.2,132,26,92,5.4
12/5/2025 13:00,23,1.4,1.3,137,26,42,5.5
12/5/2025 14:00,25,0.9,0.7,131,26,20,5.2
12/5/2025 15:00,22,1.1,1,107,26,0,5.8
12/5/2025 16:00,20,1.2,1.2,111,26,0,6.4
12/5/2025 17:00,19,1.6,1.5,100,25,0,7
12/5/2025 18:00,18,1.1,1,85,24,0,7.6
12/5/2025 19:00,17,1,0.9,67,24,0,7.9
12/5/2025 20:00,15,1.2,1.1,85,24,0,7.7
12/5/2025 21:00,16,0.8,0.7,99,24,0,8.8
12/5/2025 22:00,14,0.9,0.8,74,24,0,9.4
12/5/2025 23:00,14,0.8,0.7,64,24,0,10
