Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/4/2025 0:00,10,1.8,1.7,299,31,0,14.2
12/4/2025 1:00,,1.5,1.2,291,30,0,14.9
12/4/2025 2:00,7,1.4,1.2,269,29,0,15.4
12/4/2025 3:00,15,2,1.9,301,30,0,12.9
12/4/2025 4:00,13,1.6,1.5,286,29,0,12.6
12/4/2025 5:00,11,1.4,1.4,273,30,0,13.2
12/4/2025 6:00,9,1.5,1.4,273,30,0,12.8
12/4/2025 7:00,5,1.6,1.5,257,31,0,13.1
12/4/2025 8:00,16,2.7,2.4,289,33,51,12
12/4/2025 9:00,24,4,3.9,310,35,199,11.1
12/4/2025 10:00,24,3.2,3,292,37,370,11
12/4/2025 11:00,22,3.9,3.8,303,36,122,8.9
12/4/2025 12:00,22,3.7,3.6,309,36,97,7.1
12/4/2025 13:00,28,5.4,5.3,308,38,385,6.8
12/4/2025 14:00,29,5,4.8,304,38,280,7.1
12/4/2025 15:00,28,4.4,4.2,309,38,134,6.7
12/4/2025 16:00,31,4.5,4.4,313,36,5,5
12/4/2025 17:00,32,4.5,4.4,331,34,0,4.2
12/4/2025 18:00,33,4.3,4.1,336,33,0,3.8
12/4/2025 19:00,34,3.7,3.6,346,31,0,3.1
12/4/2025 20:00,35,3.1,3,357,29,0,2.3
12/4/2025 21:00,35,2.7,2.6,1,28,0,2.2
12/4/2025 22:00,34,2.2,2.1,13,26,0,2.3
12/4/2025 23:00,33,1.7,1.6,18,25,0,2.3
