Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/2/2025 0:00,15,1.3,1.2,138,32,0,9.7
12/2/2025 1:00,,1.8,1.7,145,32,0,9.2
12/2/2025 2:00,21,1.7,1.6,123,32,0,8.4
12/2/2025 3:00,20,1.7,1.7,138,32,0,8
12/2/2025 4:00,17,2.1,2,147,33,0,8.5
12/2/2025 5:00,16,1.4,1.2,127,32,0,8.4
12/2/2025 6:00,8,0.9,0.8,89,29,0,8.3
12/2/2025 7:00,3,1,0.9,81,29,0,8.9
12/2/2025 8:00,9,1.2,1.1,88,29,0,9
12/2/2025 9:00,7,1,1,89,29,0,9.8
12/2/2025 10:00,8,3.5,1.7,246,30,13,10.3
12/2/2025 11:00,9,22.2,22.2,254,31,40,11.6
12/2/2025 12:00,8,22.4,22.4,255,31,31,13.7
12/2/2025 13:00,8,22.7,22.7,256,32,40,13.4
12/2/2025 14:00,14,20.8,20.4,258,33,59,12
12/2/2025 15:00,17,2.8,2.7,340,34,46,11.2
12/2/2025 16:00,15,2.5,2.5,352,34,2,11.7
12/2/2025 17:00,12,1.8,1.7,336,34,0,13.4
12/2/2025 18:00,17,3.5,3.4,335,35,0,10.9
12/2/2025 19:00,21,4.6,4.5,334,36,0,8.1
12/2/2025 20:00,22,4.4,4.3,333,36,0,7.2
12/2/2025 21:00,25,4,3.9,335,37,0,6.4
12/2/2025 22:00,28,5.2,5.1,335,37,0,5.7
12/2/2025 23:00,29,4.9,4.7,337,36,0,5.8
