Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
11/30/2025 0:00,28,2.6,2.5,164,35,0,9.5
11/30/2025 1:00,,2.7,2.6,153,35,0,8.7
11/30/2025 2:00,29,3.2,3.1,151,35,0,8.8
11/30/2025 3:00,29,3.1,3,158,35,0,7.2
11/30/2025 4:00,29,3.1,3,162,35,0,6.4
11/30/2025 5:00,28,3,3,163,35,0,6.2
11/30/2025 6:00,28,2.6,2.5,165,35,0,5.8
11/30/2025 7:00,31,3.7,3.6,196,33,0,5.4
11/30/2025 8:00,32,2.5,2.4,190,32,1,5.1
11/30/2025 9:00,31,2.8,2.7,190,33,18,5.3
11/30/2025 10:00,32,3.6,3.5,197,35,27,5.3
11/30/2025 11:00,31,3.1,3,203,36,79,5.4
11/30/2025 12:00,31,3.4,3.3,202,37,88,5.8
11/30/2025 13:00,31,3.6,3.4,199,39,185,5.8
11/30/2025 14:00,30,3.2,3.1,205,40,130,5.8
11/30/2025 15:00,29,2.1,2,205,41,39,5.8
11/30/2025 16:00,27,2.3,2.2,213,40,0,6
11/30/2025 17:00,25,1.5,1.2,264,39,0,6.8
11/30/2025 18:00,23,1.4,1.2,225,39,0,7.3
11/30/2025 19:00,20,1.3,1.2,274,38,0,8.6
11/30/2025 20:00,15,1.1,0.7,247,37,0,9.9
11/30/2025 21:00,23,4.5,4.3,312,39,0,6.7
11/30/2025 22:00,27,5.1,5,314,38,0,5.7
11/30/2025 23:00,28,4.1,4,314,37,0,6.1
