datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T10:00:00.000Z,2025-11-30T11:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.19,calibration-missing,,12,calibration-missing,,13,calibration-missing,,18.91,calibration-missing,,19,calibration-missing,,22.11,calibration-missing,,22,calibration-missing,,21.73,calibration-missing,,12.98,sensor-ready,12.98,12.99,sensor-ready,12.99,9.94,calibration-missing,,12.25,sensor-ready,12.25,18.24,calibrated-ready,10.34,18,calibrated-ready,10,18.37,calibrated-ready,10.60,19.45,calibrated-ready,10.87,70,calibrated-ready,54,12.82,sensor-ready,12.82,12.83,sensor-ready,12.83,,,,61.12,sensor-ready,61.12,,,,2.39,sensor-ready,2.39,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T11:00:00.000Z,2025-11-30T12:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24,calibration-missing,,13,calibration-missing,,14,calibration-missing,,18.15,calibration-missing,,18,calibration-missing,,15.74,calibration-missing,,16,calibration-missing,,22.07,calibration-missing,,10.81,sensor-ready,10.81,13.22,sensor-ready,13.22,7.95,calibration-missing,,10.24,sensor-ready,10.24,13.72,calibrated-ready,8.39,14,calibrated-ready,8,18.66,calibrated-ready,10.72,16.58,calibrated-ready,9.59,65,calibrated-ready,52,10.71,sensor-ready,10.71,13.05,sensor-ready,13.05,,,,60.75,sensor-ready,60.75,,,,2.50,sensor-ready,2.50,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T12:00:00.000Z,2025-11-30T13:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36,calibration-missing,,17,calibration-missing,,18,calibration-missing,,23.14,calibration-missing,,23,calibration-missing,,13.84,calibration-missing,,14,calibration-missing,,22.23,calibration-missing,,9.89,sensor-ready,9.89,13.35,sensor-ready,13.35,7.29,calibration-missing,,9.40,sensor-ready,9.40,12.77,calibrated-ready,6.98,13,calibrated-ready,7,18.84,calibrated-ready,10.75,14.67,calibrated-ready,8.28,61,calibrated-ready,46,9.81,sensor-ready,9.81,13.19,sensor-ready,13.19,,,,68.21,sensor-ready,68.21,,,,2.14,sensor-ready,2.14,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T13:00:00.000Z,2025-11-30T14:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43,calibration-missing,,17,calibration-missing,,18,calibration-missing,,19.07,calibration-missing,,19,calibration-missing,,22.41,calibration-missing,,22,calibration-missing,,22.70,calibration-missing,,12.09,sensor-ready,12.09,13.55,sensor-ready,13.55,9.68,calibration-missing,,11.29,sensor-ready,11.29,18.86,calibrated-ready,8.15,19,calibrated-ready,8,19.25,calibrated-ready,10.81,16.76,calibrated-ready,8.22,65,calibrated-ready,46,11.91,sensor-ready,11.91,13.39,sensor-ready,13.39,,,,76.98,sensor-ready,76.98,,,,1.31,sensor-ready,1.31,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T14:00:00.000Z,2025-11-30T15:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32,calibration-missing,,17,calibration-missing,,18,calibration-missing,,16.16,calibration-missing,,16,calibration-missing,,23.73,calibration-missing,,24,calibration-missing,,23.34,calibration-missing,,13.52,sensor-ready,13.52,13.84,sensor-ready,13.84,10.46,calibration-missing,,12.68,sensor-ready,12.68,20.01,calibrated-ready,8.59,20,calibrated-ready,9,19.74,calibrated-ready,10.90,18.38,calibrated-ready,8.40,68,calibrated-ready,47,13.35,sensor-ready,13.35,13.66,sensor-ready,13.66,,,,77.44,sensor-ready,77.44,,,,1.52,sensor-ready,1.52,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T15:00:00.000Z,2025-11-30T16:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79,calibration-missing,,11,calibration-missing,,13,calibration-missing,,19.21,calibration-missing,,19,calibration-missing,,17.97,calibration-missing,,18,calibration-missing,,23.66,calibration-missing,,11.48,sensor-ready,11.48,13.99,sensor-ready,13.99,8.60,calibration-missing,,10.83,sensor-ready,10.83,16.02,calibrated-ready,7.78,16,calibrated-ready,8,20.03,calibrated-ready,10.91,17.20,calibrated-ready,8.09,66,calibrated-ready,44,11.34,sensor-ready,11.34,13.82,sensor-ready,13.82,,,,71.66,sensor-ready,71.66,,,,2.45,sensor-ready,2.45,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T16:00:00.000Z,2025-11-30T17:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,calibration-missing,,6,calibration-missing,,6,calibration-missing,,26.77,calibration-missing,,27,calibration-missing,,16.30,calibration-missing,,16,calibration-missing,,23.96,calibration-missing,,10.81,sensor-ready,10.81,14.13,sensor-ready,14.13,8.13,calibration-missing,,10.21,sensor-ready,10.21,14.41,calibrated-ready,7.83,14,calibrated-ready,8,20.28,calibrated-ready,10.95,15.80,calibrated-ready,7.96,63,calibrated-ready,44,10.69,sensor-ready,10.69,13.95,sensor-ready,13.95,,,,67.07,sensor-ready,67.07,,,,4.05,sensor-ready,4.05,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T17:00:00.000Z,2025-11-30T18:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.20,calibration-missing,,8,calibration-missing,,9,calibration-missing,,22.77,calibration-missing,,23,calibration-missing,,15.73,calibration-missing,,16,calibration-missing,,24.25,calibration-missing,,11.57,sensor-ready,11.57,14.28,sensor-ready,14.28,8.18,calibration-missing,,10.96,sensor-ready,10.96,13.96,calibrated-ready,8.12,14,calibrated-ready,8,20.51,calibrated-ready,10.98,14.88,calibrated-ready,8.04,62,calibrated-ready,44,11.47,sensor-ready,11.47,14.10,sensor-ready,14.10,,,,64.21,sensor-ready,64.21,,,,5.01,sensor-ready,5.01,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T18:00:00.000Z,2025-11-30T19:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65,calibration-missing,,11,calibration-missing,,13,calibration-missing,,20.83,calibration-missing,,21,calibration-missing,,16.71,calibration-missing,,17,calibration-missing,,24.55,calibration-missing,,13.15,sensor-ready,13.15,14.47,sensor-ready,14.47,9.15,calibration-missing,,12.45,sensor-ready,12.45,15.45,calibrated-ready,8.77,15,calibrated-ready,9,20.78,calibrated-ready,11.02,15.23,calibrated-ready,8.37,62,calibrated-ready,46,13.03,sensor-ready,13.03,14.29,sensor-ready,14.29,,,,62.66,sensor-ready,62.66,,,,6.29,sensor-ready,6.29,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T19:00:00.000Z,2025-11-30T20:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49,calibration-missing,,8,calibration-missing,,9,calibration-missing,,24.87,calibration-missing,,25,calibration-missing,,17.63,calibration-missing,,18,calibration-missing,,24.89,calibration-missing,,12.89,sensor-ready,12.89,14.64,sensor-ready,14.64,8.87,calibration-missing,,12.18,sensor-ready,12.18,15.58,calibrated-ready,9.01,16,calibrated-ready,9,21.07,calibrated-ready,11.07,15.40,calibrated-ready,8.62,63,calibrated-ready,48,12.76,sensor-ready,12.76,14.46,sensor-ready,14.46,,,,62.23,sensor-ready,62.23,,,,6.81,sensor-ready,6.81,,,,,,
