,source_id_clarity,output_frequency,start_of_period_utc_clarity,end_of_period_utc_clarity,no2_conc1_hour_mean_utc_clarity,rel_humid_internal1_hour_mean_clarity,temperature_internal1_hour_mean_clarity
0,A93NM49L,hour,2025-11-09 05:00:00+00:00,2025-11-09 06:00:00+00:00,17.65,77.06,10.19
1,A44MFTF3,hour,2025-11-09 05:00:00+00:00,2025-11-09 06:00:00+00:00,13.98,76.15,10.13
2,A93NM49L,hour,2025-11-09 06:00:00+00:00,2025-11-09 07:00:00+00:00,17.92,75.6,10.36
3,A44MFTF3,hour,2025-11-09 06:00:00+00:00,2025-11-09 07:00:00+00:00,13.09,74.84,10.32
4,A93NM49L,hour,2025-11-09 07:00:00+00:00,2025-11-09 08:00:00+00:00,20.89,77.2,9.93
5,A44MFTF3,hour,2025-11-09 07:00:00+00:00,2025-11-09 08:00:00+00:00,17.39,76.47,9.82
6,A93NM49L,hour,2025-11-09 08:00:00+00:00,2025-11-09 09:00:00+00:00,20.52,81.12,8.83
7,A44MFTF3,hour,2025-11-09 08:00:00+00:00,2025-11-09 09:00:00+00:00,20.09,80.18,8.87
8,A93NM49L,hour,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,20.62,85.08,7.8
9,A44MFTF3,hour,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,16.91,82.94,7.86
10,A93NM49L,hour,2025-11-09 10:00:00+00:00,2025-11-09 11:00:00+00:00,21.95,84.56,8.12
11,A44MFTF3,hour,2025-11-09 10:00:00+00:00,2025-11-09 11:00:00+00:00,17.76,83.47,8.14
12,A93NM49L,hour,2025-11-09 11:00:00+00:00,2025-11-09 12:00:00+00:00,22.92,84.87,8.42
13,A44MFTF3,hour,2025-11-09 11:00:00+00:00,2025-11-09 12:00:00+00:00,15.02,82.93,8.43
14,A93NM49L,hour,2025-11-09 12:00:00+00:00,2025-11-09 13:00:00+00:00,18.62,83.05,9.23
15,A44MFTF3,hour,2025-11-09 12:00:00+00:00,2025-11-09 13:00:00+00:00,12.46,82.1,9.14
16,A93NM49L,hour,2025-11-09 13:00:00+00:00,2025-11-09 14:00:00+00:00,16.33,79.39,11.03
17,A44MFTF3,hour,2025-11-09 13:00:00+00:00,2025-11-09 14:00:00+00:00,12.2,79.15,10.77
18,A93NM49L,hour,2025-11-09 14:00:00+00:00,2025-11-09 15:00:00+00:00,16.03,76.67,12.52
19,A44MFTF3,hour,2025-11-09 14:00:00+00:00,2025-11-09 15:00:00+00:00,10.72,75.89,12.44
20,A93NM49L,hour,2025-11-09 15:00:00+00:00,2025-11-09 16:00:00+00:00,12.52,72.59,14.02
21,A44MFTF3,hour,2025-11-09 15:00:00+00:00,2025-11-09 16:00:00+00:00,11.58,72.11,14.04
22,A93NM49L,hour,2025-11-09 16:00:00+00:00,2025-11-09 17:00:00+00:00,16.11,72.49,14.79
23,A44MFTF3,hour,2025-11-09 16:00:00+00:00,2025-11-09 17:00:00+00:00,13.01,72.31,14.68
24,A93NM49L,hour,2025-11-09 17:00:00+00:00,2025-11-09 18:00:00+00:00,18.38,76.01,14.49
25,A44MFTF3,hour,2025-11-09 17:00:00+00:00,2025-11-09 18:00:00+00:00,19.5,76.03,14.33
26,A93NM49L,hour,2025-11-09 18:00:00+00:00,2025-11-09 19:00:00+00:00,18.29,76.9,14.21
27,A44MFTF3,hour,2025-11-09 18:00:00+00:00,2025-11-09 19:00:00+00:00,16.79,76.52,14.09
28,A93NM49L,hour,2025-11-09 19:00:00+00:00,2025-11-09 20:00:00+00:00,15.34,78.0,14.15
29,A44MFTF3,hour,2025-11-09 19:00:00+00:00,2025-11-09 20:00:00+00:00,16.27,77.27,14.04
30,A93NM49L,hour,2025-11-09 20:00:00+00:00,2025-11-09 21:00:00+00:00,16.44,77.95,14.49
31,A44MFTF3,hour,2025-11-09 20:00:00+00:00,2025-11-09 21:00:00+00:00,16.37,77.34,14.37
32,A93NM49L,hour,2025-11-09 21:00:00+00:00,2025-11-09 22:00:00+00:00,17.35,79.02,14.38
33,A44MFTF3,hour,2025-11-09 21:00:00+00:00,2025-11-09 22:00:00+00:00,18.64,78.18,14.3
34,A93NM49L,hour,2025-11-09 22:00:00+00:00,2025-11-09 23:00:00+00:00,22.09,81.61,13.44
35,A44MFTF3,hour,2025-11-09 22:00:00+00:00,2025-11-09 23:00:00+00:00,25.63,80.92,13.4
36,A93NM49L,hour,2025-11-09 23:00:00+00:00,2025-11-10 00:00:00+00:00,21.46,83.82,11.95
37,A44MFTF3,hour,2025-11-09 23:00:00+00:00,2025-11-10 00:00:00+00:00,23.32,83.05,11.96
38,A93NM49L,hour,2025-11-10 00:00:00+00:00,2025-11-10 01:00:00+00:00,19.94,86.81,10.6
39,A44MFTF3,hour,2025-11-10 00:00:00+00:00,2025-11-10 01:00:00+00:00,21.08,85.94,10.59
40,A93NM49L,hour,2025-11-10 01:00:00+00:00,2025-11-10 02:00:00+00:00,23.72,89.83,10.73
41,A44MFTF3,hour,2025-11-10 01:00:00+00:00,2025-11-10 02:00:00+00:00,20.99,88.33,10.68
42,A93NM49L,hour,2025-11-10 02:00:00+00:00,2025-11-10 03:00:00+00:00,19.67,89.06,11.26
43,A44MFTF3,hour,2025-11-10 02:00:00+00:00,2025-11-10 03:00:00+00:00,19.16,87.68,11.22
44,A93NM49L,hour,2025-11-10 03:00:00+00:00,2025-11-10 04:00:00+00:00,15.35,85.03,11.36
45,A44MFTF3,hour,2025-11-10 03:00:00+00:00,2025-11-10 04:00:00+00:00,15.76,85.77,11.29
46,A93NM49L,hour,2025-11-10 04:00:00+00:00,2025-11-10 05:00:00+00:00,3.53,79.0,10.83
47,A44MFTF3,hour,2025-11-10 04:00:00+00:00,2025-11-10 05:00:00+00:00,6.9,80.65,10.82
48,A93NM49L,hour,2025-11-10 05:00:00+00:00,2025-11-10 06:00:00+00:00,7.33,73.76,10.31
49,A44MFTF3,hour,2025-11-10 05:00:00+00:00,2025-11-10 06:00:00+00:00,0.63,73.37,10.33
50,A93NM49L,hour,2025-11-10 06:00:00+00:00,2025-11-10 07:00:00+00:00,4.58,66.67,10.75
51,A44MFTF3,hour,2025-11-10 06:00:00+00:00,2025-11-10 07:00:00+00:00,2.37,66.77,10.66
52,A93NM49L,hour,2025-11-10 07:00:00+00:00,2025-11-10 08:00:00+00:00,7.39,65.02,10.53
53,A44MFTF3,hour,2025-11-10 07:00:00+00:00,2025-11-10 08:00:00+00:00,7.01,64.97,10.37
54,A93NM49L,hour,2025-11-10 08:00:00+00:00,2025-11-10 09:00:00+00:00,7.19,62.63,9.5
55,A44MFTF3,hour,2025-11-10 08:00:00+00:00,2025-11-10 09:00:00+00:00,7.12,63.39,9.27
56,A93NM49L,hour,2025-11-10 09:00:00+00:00,2025-11-10 10:00:00+00:00,8.5,62.02,8.46
57,A44MFTF3,hour,2025-11-10 09:00:00+00:00,2025-11-10 10:00:00+00:00,7.39,62.47,8.43
58,A93NM49L,hour,2025-11-10 10:00:00+00:00,2025-11-10 11:00:00+00:00,9.01,61.85,7.47
59,A44MFTF3,hour,2025-11-10 10:00:00+00:00,2025-11-10 11:00:00+00:00,9.1,62.6,7.45
60,A93NM49L,hour,2025-11-10 11:00:00+00:00,2025-11-10 12:00:00+00:00,11.05,62.73,6.63
61,A44MFTF3,hour,2025-11-10 11:00:00+00:00,2025-11-10 12:00:00+00:00,9.1,62.44,6.59
62,A93NM49L,hour,2025-11-10 12:00:00+00:00,2025-11-10 13:00:00+00:00,11.28,63.58,6.34
63,A44MFTF3,hour,2025-11-10 12:00:00+00:00,2025-11-10 13:00:00+00:00,9.73,63.42,6.27
64,A93NM49L,hour,2025-11-10 13:00:00+00:00,2025-11-10 14:00:00+00:00,4.4,59.3,7.87
65,A44MFTF3,hour,2025-11-10 13:00:00+00:00,2025-11-10 14:00:00+00:00,-0.53,59.51,7.57
66,A93NM49L,hour,2025-11-10 14:00:00+00:00,2025-11-10 15:00:00+00:00,5.08,56.84,8.73
67,A44MFTF3,hour,2025-11-10 14:00:00+00:00,2025-11-10 15:00:00+00:00,5.52,59.05,8.07
68,A93NM49L,hour,2025-11-10 15:00:00+00:00,2025-11-10 16:00:00+00:00,9.57,57.46,7.99
69,A44MFTF3,hour,2025-11-10 15:00:00+00:00,2025-11-10 16:00:00+00:00,7.32,58.15,7.69
70,A93NM49L,hour,2025-11-10 16:00:00+00:00,2025-11-10 17:00:00+00:00,7.46,57.11,7.2
71,A44MFTF3,hour,2025-11-10 16:00:00+00:00,2025-11-10 17:00:00+00:00,6.9,57.35,7.05
72,A93NM49L,hour,2025-11-10 17:00:00+00:00,2025-11-10 18:00:00+00:00,6.41,55.79,6.98
73,A44MFTF3,hour,2025-11-10 17:00:00+00:00,2025-11-10 18:00:00+00:00,5.54,56.43,6.86
74,A93NM49L,hour,2025-11-10 18:00:00+00:00,2025-11-10 19:00:00+00:00,6.89,54.93,6.75
75,A44MFTF3,hour,2025-11-10 18:00:00+00:00,2025-11-10 19:00:00+00:00,6.33,55.8,6.56
76,A93NM49L,hour,2025-11-10 19:00:00+00:00,2025-11-10 20:00:00+00:00,6.83,54.35,6.09
77,A44MFTF3,hour,2025-11-10 19:00:00+00:00,2025-11-10 20:00:00+00:00,6.15,54.54,6.05
78,A93NM49L,hour,2025-11-10 20:00:00+00:00,2025-11-10 21:00:00+00:00,6.3,51.44,5.42
79,A44MFTF3,hour,2025-11-10 20:00:00+00:00,2025-11-10 21:00:00+00:00,6.17,52.51,5.36
80,A93NM49L,hour,2025-11-10 21:00:00+00:00,2025-11-10 22:00:00+00:00,7.5,51.17,5.06
81,A44MFTF3,hour,2025-11-10 21:00:00+00:00,2025-11-10 22:00:00+00:00,6.88,51.77,4.92
82,A93NM49L,hour,2025-11-10 22:00:00+00:00,2025-11-10 23:00:00+00:00,8.83,51.31,4.49
83,A44MFTF3,hour,2025-11-10 22:00:00+00:00,2025-11-10 23:00:00+00:00,4.9,50.84,4.39
84,A93NM49L,hour,2025-11-10 23:00:00+00:00,2025-11-11 00:00:00+00:00,4.82,47.35,3.99
85,A44MFTF3,hour,2025-11-10 23:00:00+00:00,2025-11-11 00:00:00+00:00,4.53,48.0,3.86
86,A93NM49L,hour,2025-11-11 00:00:00+00:00,2025-11-11 01:00:00+00:00,7.19,49.58,3.04
87,A44MFTF3,hour,2025-11-11 00:00:00+00:00,2025-11-11 01:00:00+00:00,9.39,49.29,3.02
88,A93NM49L,hour,2025-11-11 01:00:00+00:00,2025-11-11 02:00:00+00:00,9.0,52.04,2.28
89,A44MFTF3,hour,2025-11-11 01:00:00+00:00,2025-11-11 02:00:00+00:00,9.13,52.16,2.27
